"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2011","EU27_UK_21","EU (with UK until 2019)",223986.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2011","EUEEA30_21","EU/EEA (without UK)",154975.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2011","EUEEAUK_21","EU/EEA (with UK until 2019)",227114.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2011","FI","Finland",4267.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2011","FR","France",5538.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2011","HU","Hungary",6121.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2011","IE","Ireland",2433.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2011","IS","Iceland",123.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2011","IT","Italy",468.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2011","LT","Lithuania",1124.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2011","LU","Luxembourg",704.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2011","LV","Latvia",7.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2011","MT","Malta",220.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2011","NL","Netherlands",4408.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2011","NO","Norway",3005.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2011","PL","Poland",354.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2011","RO","Romania",149.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2011","SE","Sweden",8214.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2011","SI","Slovenia",998.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2011","SK","Slovakia",4565.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2011","UK","United Kingdom",72139.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2012","AT","Austria",4710.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2012","BE","Belgium",6607.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2012","BG","Bulgaria",97.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2012","CY","Cyprus",68.000000000,""
